Date,Stock,Predicted_Return,Rank
2025-01-23,CGCL,-0.21363693475723267,264
2025-01-23,BLS,-0.2068425714969635,265
2025-01-23,NUVOCO,-0.20941737294197083,266
2025-01-23,HAL,-0.2112107276916504,267
2025-01-23,SCHAEFFLER,-0.20980986952781677,268
2025-01-23,SCHNEIDER,-0.21121074259281158,269
2025-01-23,BLUESTARCO,-0.21347245573997498,270
2025-01-23,LATENTVIEW,-0.2068425714969635,271
2025-01-23,TRITURBINE,-0.21121074259281158,272
2025-01-23,BPCL,-0.2068425714969635,273
2025-01-23,IOB,-0.21363693475723267,274
2025-01-23,GVT&D,-0.17402499914169312,275
2025-01-23,BRITANNIA,-0.2098681628704071,276
2025-01-23,OBEROIRLTY,-0.2068425714969635,277
2025-01-23,LODHA,-0.2068425714969635,278
2025-01-23,SCI,-0.21114040911197662,279
2025-01-23,SAPPHIRE,-0.2068425714969635,280
2025-01-23,OIL,-0.2068425714969635,281
2025-01-23,SONATSOFTW,-0.2068425714969635,282
2025-01-23,CANFINHOME,-0.21363693475723267,283
2025-01-23,HINDZINC,-0.2068425714969635,284
2025-01-23,JBCHEPHARM,-0.21154344081878662,285
2025-01-23,HFCL,-0.2068425714969635,286
2025-01-23,SHYAMMETL,-0.21121074259281158,287
2025-01-23,CARBORUNIV,-0.21121074259281158,288
2025-01-23,AFFLE,-0.2068425714969635,289
2025-01-23,CASTROLIND,-0.2068425714969635,290
2025-01-23,SKFINDIA,-0.21003425121307373,291
2025-01-23,SOBHA,-0.2068425714969635,292
2025-01-23,NH,-0.21154344081878662,293
2025-01-23,CEATLTD,-0.20980986952781677,294
2025-01-23,CENTRALBK,-0.21363693475723267,295
2025-01-23,PGHH,-0.17434750497341156,296
2025-01-23,CERA,-0.11002781987190247,297
2025-01-23,CESC,-0.2068425714969635,298
2025-01-23,INDUSTOWER,-0.2068425714969635,299
2025-01-23,DBREALTY,-0.2068425714969635,300
2025-01-23,CENTURYPLY,-0.21347245573997498,301
2025-01-23,NESTLEIND,-0.2098681628704071,302
2025-01-23,CDSL,-0.21363693475723267,303
2025-01-23,TRIDENT,-0.20318537950515747,304
2025-01-23,CCL,-0.2098681628704071,305
2025-01-23,CAPLIPOINT,-0.21154342591762543,306
2025-01-23,CANBK,-0.21363693475723267,307
2025-01-23,GMDCLTD,-0.2068425714969635,308
2025-01-23,CAMS,-0.21363693475723267,309
2025-01-23,BSOFT,-0.2068425714969635,310
2025-01-23,BSE,-0.21363693475723267,311
2025-01-23,BOSCHLTD,-0.18595421314239502,312
2025-01-23,HDFCAMC,-0.21363693475723267,313
2025-01-23,BLUEDART,-0.10991436243057251,314
2025-01-23,ACC,-0.20941737294197083,315
2025-01-23,IDBI,-0.21363693475723267,316
2025-01-23,SRF,-0.21159571409225464,317
2025-01-23,QUESS,-0.21114040911197662,318
2025-01-23,SUNTV,-0.2068425714969635,319
2025-01-23,CHAMBLFERT,-0.21159571409225464,320
2025-01-23,DABUR,-0.2098681628704071,321
2025-01-23,TATACOMM,-0.2068425714969635,322
2025-01-23,ANANTRAJ,-0.2068425714969635,323
2025-01-23,ABFRL,-0.2068425714969635,324
2025-01-23,PRAJIND,-0.21121074259281158,325
2025-01-23,RAILTEL,-0.2068425714969635,326
2025-01-23,TATAPOWER,-0.2068425714969635,327
2025-01-23,TRIVENI,-0.2098681628704071,328
2025-01-23,CROMPTON,-0.21347245573997498,329
2025-01-23,TATACHEM,-0.21159571409225464,330
2025-01-23,M&MFIN,-0.21363691985607147,331
2025-01-23,NATIONALUM,-0.2068425714969635,332
2025-01-23,SAREGAMA,-0.2068425714969635,333
2025-01-23,CRAFTSMAN,-0.20884980261325836,334
